cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,33.8,1,M3_AR_residual,71.34046876399746,102.41298977469937,55.702217522148075,56.13380429495587,False
D6_timevarying_r,,33,33.8,1,M4_delayed_info,73.94736489082926,103.72237834825866,55.702217522148075,56.13380429495587,False
D6_timevarying_r,,33,33.8,2,M1_autonomous_Schaefer,33.860583900334056,35.57340212291621,46.30521741325139,49.940509595919785,True
D6_timevarying_r,,33,33.8,2,M1b_autonomous_Allee,35.97680174195006,37.00366260427848,46.30521741325139,49.940509595919785,False
D6_timevarying_r,,33,33.8,2,M2_stockflow_regimeC,85.45940535279578,80.0202018356387,46.30521741325139,49.940509595919785,False
D6_timevarying_r,,33,33.8,2,M3_AR_residual,52.548284281452766,75.1631329780368,46.30521741325139,49.940509595919785,False
D6_timevarying_r,,33,33.8,2,M4_delayed_info,52.87591160346595,75.10499272680137,46.30521741325139,49.940509595919785,False
D6_timevarying_r,,33,33.8,3,M1_autonomous_Schaefer,40.26392610527523,41.142398212730846,47.137409249117795,56.000885538610724,True
D6_timevarying_r,,33,33.8,3,M1b_autonomous_Allee,43.272899141322505,72.9451158678959,47.137409249117795,56.000885538610724,False
D6_timevarying_r,,33,33.8,3,M2_stockflow_regimeC,76.18990593619118,75.48901901041755,47.137409249117795,56.000885538610724,False
D6_timevarying_r,,33,33.8,3,M3_AR_residual,58.5645218090261,74.64220156491322,47.137409249117795,56.000885538610724,False
D6_timevarying_r,,33,33.8,3,M4_delayed_info,58.50526652474594,74.73224455797956,47.137409249117795,56.000885538610724,False
D6_timevarying_r,,33,33.8,4,M1_autonomous_Schaefer,37.7305397397404,40.45962356700042,49.666204803111434,54.04069099410675,True
D6_timevarying_r,,33,33.8,4,M1b_autonomous_Allee,35.308156289137564,60.91179195412963,49.666204803111434,54.04069099410675,False
D6_timevarying_r,,33,33.8,4,M2_stockflow_regimeC,91.31637585524611,109.27139140516331,49.666204803111434,54.04069099410675,False
D6_timevarying_r,,33,33.8,4,M3_AR_residual,55.65754785882524,101.20633738142347,49.666204803111434,54.04069099410675,False
D6_timevarying_r,,33,33.8,4,M4_delayed_info,68.81006961775071,103.35037053671455,49.666204803111434,54.04069099410675,False
