K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,-94,E,-3.6298882501829731e-12,-4.3842818275280498e-11,-3.6298882501829735e-12,-3.6298882501829727e-12,-4.3842818275280504e-11,-4.3842818275280492e-11
120,370.93117783955665,-93,N,1.4023445955422971e-12,5.3301411770604639e-13,1.4023445955422969e-12,1.4023445955422973e-12,5.3301411770604629e-13,5.3301411770604649e-13
120,370.93117783955665,-93,A,1.7957790557276824e-14,-3.2477108945271835e-14,1.7957790557276821e-14,1.7957790557276827e-14,-3.2477108945271841e-14,-3.2477108945271829e-14
120,370.93117783955665,-93,Z,1.034149688601117e-11,3.1081306465937865e-12,1.0341496886011169e-11,1.0341496886011172e-11,3.1081306465937861e-12,3.1081306465937869e-12
120,370.93117783955665,-93,E,-1.7115050473251455e-11,5.1353519783732568e-11,-1.7115050473251458e-11,-1.7115050473251451e-11,5.1353519783732561e-11,5.1353519783732574e-11
120,370.93117783955665,-92,N,-1.3431302051987995e-12,-1.2943959158105994e-12,-1.3431302051987997e-12,-1.3431302051987993e-12,-1.2943959158105996e-12,-1.2943959158105992e-12
120,370.93117783955665,-92,A,-8.2700600668413592e-14,5.6318306397349392e-14,-8.2700600668413605e-14,-8.270060066841358e-14,5.6318306397349385e-14,5.6318306397349398e-14
120,370.93117783955665,-92,Z,-9.3881737241110774e-12,-9.2075103913100981e-12,-9.388173724111079e-12,-9.3881737241110758e-12,-9.2075103913100998e-12,-9.2075103913100965e-12
120,370.93117783955665,-92,E,4.4226362787015487e-11,-4.9827609030926506e-11,4.422636278701548e-11,4.4226362787015493e-11,-4.9827609030926513e-11,-4.98276090309265e-11
120,370.93117783955665,-91,N,9.0135146072739105e-13,2.1364516888944638e-12,9.0135146072739095e-13,9.0135146072739115e-13,2.1364516888944634e-12,2.1364516888944642e-12
120,370.93117783955665,-91,A,6.7921907680272983e-14,-5.2111567195403907e-14,6.7921907680272971e-14,6.7921907680272996e-14,-5.2111567195403914e-14,-5.2111567195403901e-14
120,370.93117783955665,-91,Z,4.9073306262723857e-12,1.5246085979183888e-11,4.9073306262723849e-12,4.9073306262723866e-12,1.5246085979183885e-11,1.5246085979183891e-11
120,370.93117783955665,-91,E,-7.4187786582840875e-11,3.4993608839946545e-11,-7.4187786582840888e-11,-7.4187786582840862e-11,3.4993608839946538e-11,3.4993608839946551e-11
120,370.93117783955665,-90,N,1.3740059300709549e-14,-2.8895683674807271e-12,1.3740059300709548e-14,1.3740059300709551e-14,-2.8895683674807275e-12,-2.8895683674807267e-12
